100	22	79	68	59	85	99	75	74	37	68	59	84	21	17	40	72	94	46	2	72	62	49	13	22	3	7	33	57	33	91	50	75	7	46	97	34	12	32	18	45	10	7	10	61	69	88	81	65	17	33	26	45	31	75	67	56	53	6	99	95	12	11	22	62	72	83	73	18	55	10	53	47	29	34	83	77	58	57	72	88	70	30	80	91	3	19	31	10	32	90	42	99	22	55	13	94	9	51	24	3	
2	71	43	79	11	29	37	57	0	3	95	81	16	83	59	97	83	70	0	79	2	34	79	70	35	12	26	25	83	95	72	49	26	11	22	24	82	10	22	62	43	92	96	93	70	21	80	8	58	26	65	65	98	48	92	29	39	1	84	92	79	9	18	7	15	67	17	49	72	73	54	12	32	20	13	19	81	45	66	51	33	3	67	10	80	43	2	1	57	33	87	78	47	40	63	62	60	18	22	54	
10	94	31	12	88	4	100	8	92	10	78	12	1	1	43	60	8	68	74	63	9	26	35	19	44	71	59	86	62	89	32	89	7	35	77	14	16	87	96	54	71	82	38	22	87	36	70	60	59	16	81	25	47	14	72	76	90	63	51	63	8	32	86	33	16	54	8	100	57	90	49	16	13	9	20	79	82	88	78	58	2	16	3	81	83	82	74	100	56	99	59	76	73	24	46	13	11	95	11	61	
30	69	47	38	74	36	62	16	59	85	61	32	8	8	31	6	68	90	1	82	98	47	9	25	88	22	14	50	10	23	99	74	51	73	9	82	65	33	100	16	48	12	47	16	59	43	81	89	17	99	67	77	83	92	64	13	33	88	66	41	64	97	67	66	59	63	56	6	34	93	98	51	18	56	70	11	68	42	8	24	5	3	66	62	60	76	45	3	22	62	17	3	93	12	48	81	14	73	30	68	
39	71	33	89	7	34	100	79	51	43	2	76	58	68	41	7	16	84	88	58	12	49	58	34	24	42	20	54	72	5	42	100	52	5	62	34	44	6	37	92	32	13	84	66	30	26	30	100	21	45	60	47	37	12	46	54	32	93	60	6	63	1	84	49	43	88	69	41	48	57	21	24	53	53	57	68	20	56	49	71	54	25	96	89	17	20	45	91	9	71	65	56	18	24	21	16	90	63	95	19	
21	25	74	30	2	100	34	52	1	57	47	72	46	75	21	50	22	88	29	67	61	52	86	11	63	69	69	89	95	53	38	18	78	60	40	66	18	3	52	59	71	32	48	83	3	29	45	82	68	23	64	98	17	28	20	89	74	58	22	50	34	40	94	9	90	39	9	62	2	98	44	36	80	58	63	70	89	39	66	55	75	9	81	16	19	14	96	28	71	56	75	70	1	0	65	40	91	58	78	11	
78	9	72	55	8	39	19	66	82	15	59	43	25	46	9	29	14	77	29	34	5	0	27	10	70	0	41	52	10	81	79	58	4	92	84	95	42	58	97	75	97	87	67	10	55	6	15	54	44	81	74	81	18	25	11	8	88	72	29	36	29	1	8	4	13	23	78	24	98	12	83	38	55	23	47	24	76	89	31	76	67	11	44	5	72	100	21	54	89	35	62	70	74	42	92	20	31	78	50	49	
91	82	49	14	57	36	4	95	80	68	2	20	92	23	1	3	34	52	88	0	22	40	80	43	39	69	83	7	79	80	99	64	27	88	21	21	99	34	97	100	68	9	76	41	63	12	17	54	2	26	52	75	55	31	46	62	82	70	38	38	67	11	32	29	13	50	40	44	95	74	37	51	96	31	5	78	75	36	19	28	15	52	37	92	10	38	27	31	40	98	28	58	85	36	39	6	73	58	41	23	
12	2	35	72	2	95	78	43	62	63	17	37	1	33	58	18	99	47	48	78	16	21	72	85	26	59	61	4	12	13	33	76	82	82	17	36	74	50	16	74	45	68	83	54	44	32	41	47	17	91	59	30	64	26	27	58	82	69	17	62	67	6	10	50	98	43	6	5	36	87	40	100	52	86	100	53	51	6	35	2	23	33	72	39	98	74	77	5	71	3	48	9	76	2	97	9	18	56	9	16	
42	48	0	99	81	0	41	31	66	28	46	28	13	48	40	65	83	54	99	87	17	3	38	76	79	0	60	68	60	88	87	11	18	76	97	64	72	47	62	59	44	22	32	35	17	28	10	34	85	26	47	44	69	67	60	4	7	60	89	74	37	90	36	59	65	39	47	26	91	41	86	64	1	25	50	74	64	77	32	26	47	94	36	46	41	100	52	64	84	70	77	75	63	60	16	94	98	25	15	88	
37	6	88	57	6	70	86	18	37	45	92	16	90	48	74	60	0	22	86	50	0	68	84	9	35	39	22	80	87	29	94	68	81	33	19	42	68	33	98	56	17	84	100	32	91	26	31	66	8	31	89	26	65	15	45	82	98	69	67	25	45	81	95	22	63	8	21	52	56	77	94	89	51	83	92	82	90	8	6	88	31	15	10	91	12	61	92	46	4	78	10	40	38	57	18	94	52	85	25	50	
